Date,Month,Cumulative_Buying,Cumulative_Renting,Cost_Difference,Buying_Monthly,Renting_Monthly,Is_BreakEven,BreakEven_Month,BreakEven_Date
2025-11-30,1,51997.02493121481,1314.387556505798,50682.63737470901,1535.5177568050274,1314.387556505798,False,256,2047-02-28
2025-12-31,2,53533.98673048562,2634.28750546583,50899.699225019795,1536.9617992708133,1319.899948960032,False,256,2047-02-28
2026-01-31,3,55072.39257222222,3958.1327846147933,51114.25978760743,1538.405841736599,1323.8452791489638,False,256,2047-02-28
2026-02-28,4,56612.2424564246,5286.0049147168465,51326.23754170776,1539.8498842023848,1327.8721301020528,False,256,2047-02-28
2026-03-31,5,58153.536383092774,6617.617118416653,51535.91926467612,1541.2939266681706,1331.6122036998067,False,256,2047-02-28
2026-04-30,6,59696.274352226734,7953.532019153712,51742.74233307302,1542.7379691339565,1335.914900737059,False,256,2047-02-28
2026-05-31,7,61240.45636382647,9293.904691374224,51946.551672452246,1544.1820115997423,1340.3726722205117,False,256,2047-02-28
2026-06-30,8,62786.082417892,10638.190535297337,52147.89188259466,1545.626054065528,1344.2858439231134,False,256,2047-02-28
2026-07-31,9,64333.15251442332,11986.775635494203,52346.37687892911,1547.0700965313138,1348.5851001968651,False,256,2047-02-28
2026-08-31,10,65881.66665342041,13339.5450551031,52542.12159831731,1548.5141389970995,1352.7694196088976,False,256,2047-02-28
2026-09-30,11,67431.6248348833,14696.1413243049,52735.4835105784,1549.9581814628852,1356.5962692017974,False,256,2047-02-28
2026-10-31,12,68983.02705881197,16057.713705921864,52925.31335289011,1551.402223928671,1361.5723816169645,False,256,2047-02-28
2026-11-30,13,70535.87332520643,17423.642673468996,53112.23065173743,1552.846266394457,1365.9289675471332,False,256,2047-02-28
2026-12-31,14,72090.16363406667,18794.34811347453,53295.81552059214,1554.2903088602427,1370.7054400055347,False,256,2047-02-28
2027-01-31,15,73645.8979853927,20169.53265177618,53476.36533361652,1555.7343513260287,1375.1845383016494,False,256,2047-02-28
2027-02-28,16,75203.07637918451,21549.314442662377,53653.76193652213,1557.1783937918144,1379.7817908861973,False,256,2047-02-28
2027-03-31,17,76761.69881544211,22933.803336496476,53827.89547894563,1558.6224362576002,1384.4888938340982,False,256,2047-02-28
2027-04-30,18,78321.7652941655,24322.617779203036,53999.14751496246,1560.066478723386,1388.8144427065613,False,256,2047-02-28
2027-05-31,19,79883.27581535467,25716.037792676565,54167.23802267811,1561.5105211891716,1393.4200134735281,False,256,2047-02-28
2027-06-30,20,81446.23037900962,27113.64158025508,54332.58879875454,1562.9545636549574,1397.6037875785157,False,256,2047-02-28
2027-07-31,21,83010.62898513037,28515.911668334364,54494.71731679601,1564.3986061207434,1402.2700880792836,False,256,2047-02-28
2027-08-31,22,84576.4716337169,29922.477510348897,54653.994123368,1565.842648586529,1406.565842014534,False,256,2047-02-28
