Date,Month,Buying_Wealth,Renting_Wealth,Wealth_Difference,Buying_Equity,Buying_CumulativeCosts,Renting_InvestmentValue,Renting_CumulativeRent
2025-11-30,1,-18533.913034367346,248028.06729928518,266561.9803336525,50435.72303953383,68969.63607390117,251413.53634685132,3385.469047566154
2025-12-31,2,-19653.500497681045,246052.40234432463,265705.90284200566,53045.2422459909,72698.74274367194,252835.0650337181,6782.6626893934645
2026-01-31,3,-20774.213322686453,244074.25364676802,264848.4669694545,55657.038156359864,76431.25147904632,254264.63125045283,10190.377603684821
2026-02-28,4,-21896.039674855972,242094.71051393508,263990.7501887911,58271.12260516832,80167.16228002429,255702.2804424179,13607.5699284828
2026-03-31,5,-23018.967658145004,240114.68676564135,263133.6544237863,60887.50748846086,83906.47514660587,257148.0583119304,17033.37154628904
2026-04-30,6,-24142.985314672216,238134.91579205342,262277.9011067256,63506.204764118826,87649.19007879104,258602.010819715,20467.09502766159
2026-05-31,7,-25268.080624398004,236155.9549191321,261424.03554353013,66127.22645218181,91395.30707657982,260064.18418636502,23908.22926723291
2026-06-30,8,-26394.241504801423,234178.1970249617,260572.43852976314,68750.58463517076,95144.82613997218,261534.62489381168,27356.42786884999
2026-07-31,9,-27521.45581055549,232201.88742636744,259723.34323692293,71376.29145841266,98897.74726896815,263013.37968680175,30811.492260434305
2026-08-31,10,-28649.711333200423,230227.1442073756,258876.855540576,74004.35913036729,102654.07046356771,264500.4955743838,34273.35136700824
2026-09-30,11,-29778.995800815945,228253.98036709568,258032.9761679116,76634.79992295493,106413.79572377088,265996.0198314021,37742.03946430642
2026-10-31,12,-30909.296877691013,226282.32640428448,257191.6232819755,79267.62617188663,110176.92304957764,267500.0,41217.67359571552
2026-11-30,13,-32040.602163992444,224312.0522114193,256352.65437541174,81902.85027699557,113943.45244098801,269012.4838911309,44700.43167971158
2026-12-31,14,-33172.89919543138,222342.98740764707,255515.88660307846,84540.4847025706,117713.38389800198,270533.51958607836,48190.53217843127
2027-01-31,15,-34306.17544292855,220374.93948545668,254681.11492838524,87180.541977691,121486.71742061955,272063.15543798456,51688.21595252789
2027-02-28,16,-35440.41831227715,218407.7093712577,253848.12768353484,89823.03469656355,125263.4530088407,273601.4400733871,55193.730702129425
2027-03-31,17,-36575.61514380461,216441.10419887188,253016.7193426765,92467.97551886085,129043.59066266546,275148.42239376553,58707.31819489367
2027-04-30,18,-37711.75321203208,214474.9472633784,252186.70047541047,95115.37717006175,132827.13038209383,276704.15157709504,62229.20431371664
2027-05-31,19,-38848.8197253324,212509.08525911556,251357.90498444796,97765.25244179339,136614.0721671258,278268.6770794105,65759.59182029498
2027-06-30,20,-39986.801825586444,210543.39301002448,250530.19483561092,100417.61419217492,140404.41601776137,279842.0486363785,69298.65562635401
2027-07-31,21,-41125.68658783715,208577.7759745124,249703.46256234954,103072.47534616338,144198.16193400053,281424.3162648779,72846.5402903655
2027-08-31,22,-42265.46101994239,206612.17085325147,248877.63187319387,105729.84889590088,147995.30991584327,283015.53026459063,76403.35941133914
2027-09-30,23,-43406.112062225584,204646.54465022386,248052.65671244945,108389.74790106405,151795.85996328964,284615.74121960026,79969.1965693764
2027-10-31,24,-44547.626587124745,202680.89253871964,247228.51912584438,111052.18548921484,155599.8120763396,286224.99999999994,83544.10746128029
2027-11-30,25,-45689.991398839484,200715.2348689147,246405.2262677542,113717.17485615367,159407.16625499315,287843.3577635101,87128.12289459539
2027-12-31,26,-46833.19323297634,198749.61362607242,245582.80685904875,116384.72926627396,163217.9224992503,289470.86595710384,90721.25233103141
